code,municipality,county,constituency,constituency_name,name,electorate,kind,baseline_source,prior_rate,expected_votes,old_codes,prior_M,prior_C,prior_L,prior_KD,prior_MP,prior_S,prior_V,prior_SD,prior_ÖVR
01140210,0114,01,02,Stockholms län,Väsbyskogen Västra,1650,ordinary,district_mapping,0.7788461538461539,1285.0961538461538,01140210,0.1963919639196392,0.06929069290692907,0.04223042230422304,0.04715047150471505,0.04633046330463304,0.32759327593275933,0.08733087330873308,0.16441164411644116,0.01927019270192702
01140211,0114,01,02,Stockholms län,Skälby,1317,ordinary,district_mapping,0.6987032799389779,920.1922196796338,01140211,0.19608908202064096,0.04182509505703422,0.049429657794676805,0.03204780010863661,0.026615969581749048,0.31993481803367735,0.0755024443237371,0.23845736013036392,0.020097772949483977
01140212,0114,01,02,Stockholms län,Smedby Södra,1202,ordinary,district_mapping,0.6876106194690266,826.5079646017699,01140212,0.11324376199616124,0.037747920665387076,0.02495201535508637,0.04030710172744722,0.02495201535508637,0.31669865642994244,0.08765195137555983,0.32437619961612285,0.030070377479206652
01140218,0114,01,02,Stockholms län,Korpkulla,1435,ordinary,district_mapping,0.7445141065830722,1068.3777429467086,01140218,0.1681508643268727,0.046621267679413304,0.03823991618648507,0.03614457831325301,0.02671555788370875,0.35463593504452595,0.10214772132006286,0.20586694604504976,0.021477213200628602
01140219,0114,01,02,Stockholms län,Ekebo,1048,ordinary,district_mapping,0.6210739614994935,650.8855116514692,01140219,0.10283400809716599,0.03967611336032389,0.03319838056680162,0.055870445344129556,0.034817813765182185,0.37165991902834006,0.12712550607287448,0.2097165991902834,0.025101214574898785
01140223,0114,01,02,Stockholms län,Brunnby,1327,ordinary,district_mapping,0.7383900928792569,979.843653250774,01140223,0.23943661971830985,0.05581637976004173,0.040166927490871154,0.04121022430881586,0.0297339593114241,0.2436098069900887,0.057902973395931145,0.27386541471048514,0.018257694314032343
01140224,0114,01,02,Stockholms län,Apoteksskogen,1102,ordinary,district_mapping,0.6598240469208211,727.1260997067449,01140224,0.15084621044885946,0.04047093451066961,0.03016924208977189,0.06548933038999265,0.034584253127299486,0.36276674025018396,0.10963944076526858,0.18027961736571008,0.025754231052244298
01140225,0114,01,02,Stockholms län,Väsbyskogen Östra,1221,ordinary,district_mapping,0.5283528352835284,645.1188118811882,01140225,0.11073541842772612,0.039729501267962805,0.01098901098901099,0.03634826711749789,0.03296703296703297,0.38461538461538464,0.13440405748098055,0.1952662721893491,0.054945054945054944
01140231,0114,01,02,Stockholms län,Vilunda,1137,ordinary,district_mapping,0.7597402597402597,863.8246753246752,01140231,0.14632665452337584,0.06132361870066788,0.03946569520340012,0.06253794778384943,0.04068002428658166,0.3491196114146934,0.07832422586520947,0.21068609593199758,0.01153612629022465
01140232,0114,01,02,Stockholms län,Fyrklövern Norra,1012,ordinary,district_mapping,0.6162361623616236,623.630996309963,01140232,0.14540059347181009,0.036597428288822946,0.03066271018793274,0.03857566765578635,0.03461918892185954,0.39663699307616224,0.09000989119683482,0.19485657764589515,0.032640949554896145
